group,family,virus,G,K,K reference,mu,mu reference,
ss_neg_RNA,filo,ebola_virus,18.96,1.30E-03,Hoenen et al. 2015,,,
dsRNA,,bacteriophage_phi6,13.4,,,1.60E-06,82 (2016),
dsRNA,birna,infectious_bursal_disease_virus,5.99,6.36E-04,61 (2012),,,
dsRNA,birna,bluetongue_virus,19.19,2.09E-04,62 (2012),,,
dsRNA,reo,homalodisca_vitripennis_virus,25.72,3.46E-05,63 (2012),,,
dsRNA,reo,human_rotavirus_A,18.56,1.76E-03,64 (2012),,,
dsRNA,reo,liao_ning_virus,20.74,1.99E-03,65 (2012),,,
retro,hepadna,avian_hepatitis_B_virus,3.03,7.32E-04,66 (2012),,,
retro,,duck_hepatitis_B_virus,3.03,,,2.00E-05,150 (2016),
retro,hepadna,human_hepatitis_B_virus,3.22,3.21E-04,"67, 66 (2012)",,,
retro,,spleen_necrosis_virus,7.8,,,3.70E-05,"151,152 (2016)",
retro,,murine_leukemia_virus,8.33,,,3.00E-05,"153,154,155,156 (2016)",
retro,,bovine_leukemia_virus,8.42,,,1.70E-05,157 (2016),
retro,,human_Tcell_leukemia_virus,8.5,,,1.60E-05,158 (2016),
retro,retro,HIV-1,9.75,2.28E-03,"68,69,70,71 (2012)",,,
retro,,HIV-1_virions,9.18,,,6.30E-05,"76,159,160,161,162,163,99,63 (2016)",
retro,,HIV-1_cellular_DNA,9.18,,,4.40E-03,63 (2016),
retro,,foamy_virus,13.2,,,2.10E-05,164 (2016),
retro,,rous_sarcoma_virus,9.4,,,1.40E-04,165 (2016),
ssDNA,,bacteriophage_phiX174,5.39,,,1.10E-06,"166,23 (2016)",
ssDNA,,bacteriophage_m13,6.41,,,7.90E-07,94 (2016),
ssDNA,circo,porcine_circovirus_2,1.77,1.37E-03,72 (2012),,,
ssDNA,gemini,african_cassava_mosaic_virus,5.5,6.92E-04,"73, 74 (2012)",,,
ssDNA,gemini,maize_streak_virus,2.69,3.87E-04,74 (2012),,,
ssDNA,gemini,tomato_yellow_leaf_curl_virus,2.78,3.41E-04,"74, 75 (2012)",,,
ssDNA,nano,banana_bunchy_top_virus,6.4,1.43E-04,76 (2012),,,
ssDNA,parvo,canine_parvovirus,5.32,1.16E-04,77 (2012),,,
ssDNA,parvo,feline_panleukopenia_virus,5.32,8.62E-05,77 (2012),,,
ssDNA,parvo,human_parvovirus_B19,5.59,1.55E-04,"78, 79 (2012)",,,
ssDNA,parvo,IHHNV,3.91,1.39E-04,80 (2012),,,
ssDNA,parvo,porcine_parvovirus,5.08,1.88E-04,81 (2012),,,
dsDNA,,bacteriophage_lambda,48.5,,,5.40E-07,"167,168 (2016)",
dsDNA,herpes,herpes_simplex_virus,152.26,8.21E-05,82 (2012),5.90E-08,"169,170 (2016)",
dsDNA,herpes,varicella_zoster_virus,124.88,6.26E-06,82 (2012),,,
dsDNA,,bacteriophage_T2,169,,,9.80E-08,"167,171 (2016)",
dsDNA,,human_CMV,235,,,2.00E-07,20 (2016),
dsDNA,adeno,human_adenovirus_5,35.9,,,1.31E-07,Risso-Ballester et al. 2016,
dsDNA,adeno,human_adenovirus_B,35.34,7.20E-05,82 (2012),,,
dsDNA,adeno,human_adenovirus_C,35.94,3.46E-05,82 (2012),,,
dsDNA,papilloma,human_papillomavirus_16,7.9,3.90E-03,82 (2012),,,
dsDNA,polyoma,BK_polyomavirus,5.15,4.34E-05,82 (2012),,,
dsDNA,polyoma,JC_polyomavirus,5.13,1.70E-05,83 (2012),,,
dsDNA,pox,monkeypox_virus,196.86,7.00E-07,84 (2012),,,
dsDNA,pox,variola_virus,185.58,9.32E-06,82 (2012),,,
